State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
Alabama,2002,380805,499453,2812905,18,68,138,48.336,136.49,49.068,57,254,1048,150.033,509.551,372.703,52,196,728,136.906,392.404,258.844,6,27,49,16.556,54.892,17.513,20,18,2,59.732,62.325,0.914,24,62,73,63.662,124.672,25.967,49,119,141,127.535,237.88,50.275,63,226,930,166.578,451.976,330.659
Alabama,2003,381563,503783,2834977,18,68,135,48.108,135.339,47.755,60,260,1137,156.793,517.024,400.951,51,200,779,134.812,396.331,274.905,6,28,46,15.842,56.283,16.102,19,16,2,57.088,58.363,1.287,25,69,81,64.254,137.853,28.499,51,127,156,134.02,252.083,55.134,67,238,994,174.335,472.788,350.657
Alabama,2004,380150,506120,2871062,21,64,161,54.66,126.724,56.095,61,266,1254,159.748,526.256,436.939,47,197,773,124.25,388.654,269.372,6,31,43,15.926,60.775,15.039,17,14,3,51.428,51.097,1.531,26,71,87,67.209,139.538,30.454,48,124,156,126.519,245.615,54.321,61,234,934,159.465,462.976,325.489
Alabama,2005,384026,504331,2899055,19,66,160,49.386,130.609,55.082,61,269,1274,159.487,534.311,439.526,45,196,803,117.626,387.718,276.982,5,31,48,14.212,61.882,16.429,17,15,3,48.558,49.161,1.364,24,62,94,61.922,122.741,32.476,42,108,152,110.363,214.238,52.344,58,232,983,151.477,460.172,339.205
Alabama,2006,386639,500168,2919719,19,65,156,48.496,130.18,53.316,58,261,1205,149.648,522.224,412.686,46,194,846,119.558,387.972,289.616,5,25,45,13.287,50.542,15.29,18,15,2,50.085,47.082,1.011,21,57,92,54.082,113.858,31.572,43,96,163,112.026,192.794,55.699,64,239,1002,164.336,478.203,343.2
Alabama,2007,383012,499641,2945019,17,65,158,45.596,131.019,53.541,50,262,1234,130.411,524.713,419.022,43,192,804,113.181,383.97,272.868,4,20,36,10.322,39.479,12.175,16,15,2,45.213,46.279,1.078,20,65,90,52.351,129.917,30.587,42,103,163,108.52,207.027,55.397,56,237,956,147.446,473.836,324.691
Alabama,2008,379377,505718,2974610,16,70,162,41.228,137.476,54.504,48,275,1334,126.953,544.142,448.369,39,193,803,104.036,381.565,269.786,3,17,33,7.569,34.392,11.111,16,17,2,44.659,55.28,1.161,22,73,100,56.982,144.948,33.529,38,114,175,101.094,226.035,58.909,50,230,991,132.611,454.119,333.293
Alabama,2009,375942,515510,2993410,16,71,178,42.954,136.931,59.574,46,270,1359,121.178,523.092,453.932,34,191,826,90.082,371.373,276.034,3,13,24,6.722,26.142,8.094,16,17,2,45.413,57.413,1.323,22,72,99,57.453,139.016,32.954,41,118,191,107.952,229.293,63.953,45,228,996,118.858,442.994,332.852
Alabama,2010,386718,535455,3052348,14,64,128,35.191,120.055,42.083,43,274,1375,111.804,511.119,450.579,34,195,815,87.872,364.797,267.157,3,13,32,6.677,24.98,10.345,16,18,2,46.016,55.941,1.186,23,76,112,58.274,142.542,36.742,43,120,183,110.797,223.545,59.822,43,232,990,110.05,433.35,324.356
Alabama,2011,385060,536921,3073532,13,62,125,32.715,114.617,40.509,44,283,1400,113.569,526.524,455.585,32,196,804,82.184,365.729,261.683,3,14,31,6.692,26.832,10.054,18,18,2,49.418,59.523,1.111,22,77,104,56.178,143.431,33.842,42,126,193,108.574,235.442,62.948,41,235,1010,107.653,437.098,328.727
